name,n,base_mean,base_std,base_ci_lower,base_ci_upper,pruned_mean,pruned_std,pruned_ci_lower,pruned_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
IND→BNM_paths,2000,0.10793275386095047,1.5315563678741455,0.04388633649796252,0.1746804691851139,0.07417529076337814,1.2211921215057373,0.0209841596428305,0.12504282593727112,0.31276383996009827,0.02133643627166748,0.3402213464534932,False,0.3486538161731473,False,magnitude_attention_heads_sparsity30,1.0,False,0.345987809952705,False
IND→NM_paths,2000,0.11626216024160385,1.5344535112380981,0.051917365565896045,0.17958595268428323,0.07375293970108032,1.2218732833862305,0.020306566031649712,0.12632788568735123,0.36563247442245483,0.02678610570728779,0.23121024262165538,False,0.23415396917424647,False,magnitude_attention_heads_sparsity30,1.0,False,0.24337920275963726,False
PT→IND_paths,2000,0.11462796479463577,1.5181773900985718,0.051140240579843545,0.1848494943231344,0.03843558207154274,1.2158737182617188,-0.011865489557385436,0.09368758294731377,0.664692759513855,0.048653166741132736,0.029725097779449716,True,0.038521237889056203,True,magnitude_attention_heads_sparsity30,1.0,False,0.033027886421610794,True
S-INH→NM_paths,2000,0.659927248954773,1.474485158920288,0.5998183563351631,0.7235076889395714,0.08308349549770355,1.215772271156311,0.027683707559481265,0.13873752765357492,0.874101996421814,0.36525779962539673,2.2561431723176285e-56,True,3.0982938056392437e-52,True,magnitude_attention_heads_sparsity30,1.3536859033905772e-54,True,1.3536859033905772e-55,True
S-INH→NNM_paths,2000,0.38028284907341003,1.4714932441711426,0.3167582355439663,0.4457716628909111,0.05459607020020485,1.2199616432189941,-0.0017114927846705538,0.10874724853783846,0.8564329743385315,0.2082933932542801,3.1719085674334364e-20,True,3.9638824185542926e-18,True,magnitude_attention_heads_sparsity30,1.9031451404600618e-18,True,9.062595906952676e-20,True
previous_token_heads,3000,0.12393180280923843,1.5586285591125488,0.06619662567973136,0.17885884642601013,-0.0933375135064125,1.7635339498519897,-0.1610192570835352,-0.03391717383638025,1.7531360387802124,0.10745476931333542,4.432436232848846e-09,True,1.879877676155355e-09,True,random_attention_heads_sparsity30,2.6594617397093074e-07,True,8.058974968816082e-09,True
duplicate_token_heads,2000,0.24942956864833832,1.6057902574539185,0.1818670216947794,0.315261298418045,-0.0480496808886528,1.763757586479187,-0.1288949828594923,0.029940357664600015,1.1926382780075073,0.1430775225162506,1.9676311934571786e-10,True,2.420372632129768e-10,True,random_attention_heads_sparsity30,1.1805787160743072e-08,True,3.935262386914357e-10,True
induction_heads,5000,0.2968946397304535,1.539828896522522,0.2520107701420784,0.3412056341767311,-0.005485923960804939,1.7927695512771606,-0.05344726182520389,0.04786633662879467,1.0184776782989502,0.15269193053245544,7.109768230930748e-27,True,5.3580182118380505e-27,True,random_attention_heads_sparsity30,4.265860938558449e-25,True,2.3699227436435825e-26,True
s_inhibition_heads,4000,0.7903801202774048,1.5315221548080444,0.7425349250435829,0.8398970246315003,0.13688647747039795,1.7773463726043701,0.07974555008113385,0.19417662024497984,0.826809287071228,0.3241930902004242,6.736750227689655e-89,True,9.044935381592692e-86,True,random_attention_heads_sparsity30,4.042050136613793e-87,True,1.0105125341534482e-87,True
name_mover_heads,5000,0.19612623751163483,1.5362884998321533,0.15486692003905772,0.2399682316929102,-0.12383505702018738,1.7680084705352783,-0.17193101234734057,-0.07540526632219553,1.6314048767089844,0.15957500040531158,3.5962435097277136e-29,True,1.395581523908303e-30,True,random_attention_heads_sparsity30,2.1577461058366282e-27,True,1.2692624151980166e-28,True
negative_name_mover_heads,2000,-0.8228709101676941,1.951327919960022,-0.9063430964946747,-0.7359159082174301,0.11944790929555893,1.759023666381836,0.040132472384721056,0.2017293710261583,1.1451599597930908,-0.4173842668533325,8.991010272204863e-72,True,4.671686787538773e-64,True,random_attention_heads_sparsity30,5.3946061633229174e-70,True,6.743257704153647e-71,True
backup_name_mover_heads,5000,0.13731375336647034,1.511139154434204,0.09385414589196443,0.1794715855270624,-0.10686137527227402,1.7649917602539062,-0.15319277644157409,-0.05658930679783226,1.7782278060913086,0.12297667562961578,4.641497335388848e-18,True,2.2393570112515705e-18,True,random_attention_heads_sparsity30,2.7848984012333085e-16,True,1.210825391840569e-17,True
all_heads,26000,0.21300409734249115,1.6182602643966675,0.19283110834658146,0.23215779140591622,-0.029637770727276802,1.7747881412506104,-0.05123558109626174,-0.009469870221801114,1.1391417980194092,0.117794930934906,6.716513121791729e-80,True,1.2979349749323065e-89,True,random_attention_heads_sparsity30,4.0299078730750376e-78,True,5.757011247250053e-79,True
all_paths,12000,0.26731497049331665,1.5262984037399292,0.23968206569552422,0.2951037921011448,-0.02966960147023201,1.772745132446289,-0.060394256841391325,0.0033121771528385534,1.1109912395477295,0.1498977094888687,6.207161677913768e-60,True,8.515043284522293e-61,True,random_attention_heads_sparsity30,3.724297006748261e-58,True,4.138107785275846e-59,True
DT→S-INH_paths,2000,0.22485706210136414,1.5468697547912598,0.15683366991579534,0.2971385300159454,-0.049495093524456024,1.763429045677185,-0.12297410219907758,0.029991075908765194,1.2201180458068848,0.13740567862987518,9.718605368644496e-10,True,1.068198031293847e-09,True,random_attention_heads_sparsity30,5.8311632211866976e-08,True,1.822238506620843e-09,True
IND→BNM_paths,2000,0.10793275386095047,1.5315563678741455,0.03623285228386523,0.17394401617348193,-0.05054888129234314,1.7645351886749268,-0.12360622826963658,0.03196936473250389,1.4683367013931274,0.0796838328242302,0.0003756887150150269,True,0.00023358501566417077,True,random_attention_heads_sparsity30,0.022541322900901613,True,0.0004900287587152524,True
IND→NM_paths,2000,0.11626216024160385,1.5344535112380981,0.04613842852413655,0.18693048618733882,-0.050170812755823135,1.7661916017532349,-0.12701454162597656,0.023616246646270145,1.4315317869186401,0.08368030935525894,0.00018818564092683564,True,0.00010856323433856191,True,random_attention_heads_sparsity30,0.011291138455610139,True,0.0002566167830820486,True
PT→IND_paths,2000,0.11462796479463577,1.5181773900985718,0.04842226784676316,0.18177017793059347,-0.11612695455551147,1.7593722343444824,-0.19083440862596032,-0.03710107728838924,2.0130770206451416,0.11656028032302856,2.06698495535548e-07,True,1.2908269120234355e-07,True,random_attention_heads_sparsity30,1.240190973213288e-05,True,3.543402780609394e-07,True
S-INH→NM_paths,2000,0.659927248954773,1.474485158920288,0.5956792622804642,0.7241328597068787,0.05777901038527489,1.7920647859573364,-0.02077391422353684,0.13690135106444357,0.9124463796615601,0.3102140426635742,7.847387622564851e-42,True,2.823561317323536e-41,True,random_attention_heads_sparsity30,4.70843257353891e-40,True,3.1389550490259403e-41,True
S-INH→NNM_paths,2000,0.38028284907341003,1.4714932441711426,0.3113988943397999,0.44359455630183214,0.030545122921466827,1.7849842309951782,-0.04268119391053912,0.10297314580529929,0.9196779131889343,0.1787082701921463,2.2563313573168394e-15,True,3.71807652960505e-15,True,random_attention_heads_sparsity30,1.3537988143901037e-13,True,5.0140696829263094e-15,True
