name,n,base_mean,base_std,base_ci_lower,base_ci_upper,pruned_mean,pruned_std,pruned_ci_lower,pruned_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model
year_encoding_heads,2000,-1.0997751951217651,0.9726033806800842,-1.1419019162654878,-1.0571992129087449,-0.8676111102104187,1.0077086687088013,-0.9124417960643768,-0.8265922158956528,0.21110139787197113,-0.2379208356142044,9.594017193143573e-26,True,6.922830133047361e-40,True,random_attention_heads_sparsity30
year_difference_heads,1000,-0.009196929633617401,0.8168637752532959,-0.05847742119804024,0.040244060847908256,-0.038985561579465866,1.082518458366394,-0.10482467599213123,0.026841448200866556,-3.238975763320923,0.03316623717546463,0.29476135247268265,False,0.6761601862618072,False,random_attention_heads_sparsity30
comparison_heads,1000,-1.3246396780014038,0.9774264693260193,-1.3842294305562972,-1.2702731966972352,-1.0539532899856567,1.0078046321868896,-1.117458239197731,-0.9926185384392738,0.2043471783399582,-0.27982670068740845,4.093740765565785e-18,True,1.6799687994945932e-25,True,random_attention_heads_sparsity30
output_computation_heads,2000,-1.165978193283081,0.9802270531654358,-1.2112844854593277,-1.1242946535348892,-0.9442105889320374,0.9980641007423401,-0.9863350346684455,-0.8988540396094322,0.19019876420497894,-0.2278309166431427,8.598956756463115e-24,True,1.5848648754065648e-37,True,random_attention_heads_sparsity30
all_heads,6000,-0.9775571823120117,1.0484354496002197,-1.0030341625213623,-0.9495845675468445,-0.78609699010849,1.072687029838562,-0.8125892639160156,-0.7602122843265533,0.1958557516336441,-0.1981419026851654,3.61324572100344e-52,True,2.0467580233554946e-88,True,random_attention_heads_sparsity30
all_paths,7000,-0.9715736508369446,0.9775199294090271,-0.9924011811614036,-0.9502184063196182,-0.7256239652633667,1.054865837097168,-0.7508101686835289,-0.7027383983135224,0.253145694732666,-0.25677740573883057,3.46446999034671e-99,True,1.5299309900655866e-147,True,random_attention_heads_sparsity30
CMP→OUT_paths,2000,-1.250503420829773,0.9683805108070374,-1.2922267764806747,-1.2052245438098907,-1.0573557615280151,0.9959708452224731,-1.1006105065345764,-1.0187848687171936,0.15445591509342194,-0.200725257396698,6.39906446156689e-19,True,2.3594781948797115e-32,True,random_attention_heads_sparsity30
YD→CMP_paths,1000,-0.5227404832839966,0.8533341884613037,-0.5775616645812989,-0.47025482952594755,-0.3188389241695404,1.0296653509140015,-0.38175527900457384,-0.2540239244699478,0.39006268978118896,-0.2196471393108368,6.931764246387063e-12,True,5.2273430557936425e-18,True,random_attention_heads_sparsity30
YD→OUT_paths,2000,-0.7509259581565857,0.9220171570777893,-0.789850476384163,-0.7083895891904831,-0.4418816566467285,1.0318691730499268,-0.4883361615240574,-0.39740305170416834,0.41155096888542175,-0.3264453709125519,6.3399528888290894e-46,True,1.24032944195893e-59,True,random_attention_heads_sparsity30
YE→YD_paths,2000,-1.1377081871032715,0.9683122634887695,-1.1779360860586165,-1.092235028743744,-0.8810269832611084,1.005155086517334,-0.9253021106123924,-0.8370366498827935,0.22561250627040863,-0.26331567764282227,5.536033963943151e-31,True,4.272863180156425e-45,True,random_attention_heads_sparsity30
year_encoding_heads,2000,-1.0997751951217651,0.9726033806800842,-1.145057386159897,-1.0564102709293366,-1.5822193622589111,1.0501090288162231,-1.6242465019226073,-1.5369462847709656,-0.43867525458335876,0.45623669028282166,3.563042767634061e-84,True,2.2250558864616952e-73,True,random_neurons_sparsity30
year_difference_heads,1000,-0.009196929633617401,0.8168637752532959,-0.0625244090333581,0.04642826523631811,-1.5188710689544678,1.0222562551498413,-1.5817541360855103,-1.4526170074939728,-164.14981079101562,1.8003569841384888,1.0599855e-315,True,4.345600670175208e-158,True,random_neurons_sparsity30
comparison_heads,1000,-1.3246396780014038,0.9774264693260193,-1.3836931854486465,-1.2657472014427185,-1.7094628810882568,0.990688145160675,-1.7757470577955246,-1.6466606825590133,-0.2905116081237793,0.3764699697494507,1.2567005599009461e-30,True,6.3877265244007e-27,True,random_neurons_sparsity30
output_computation_heads,2000,-1.165978193283081,0.9802270531654358,-1.2084118336439134,-1.1205814272165298,-1.662966251373291,1.033537745475769,-1.7062423706054688,-1.6170812547206879,-0.42624130845069885,0.46191784739494324,4.756947980255097e-86,True,9.855795488529073e-77,True,random_neurons_sparsity30
all_heads,6000,-0.9775571823120117,1.0484354496002197,-1.002595427632332,-0.951733972132206,-1.6197842359542847,1.0322391986846924,-1.648118045926094,-1.5937751948833465,-0.6569713354110718,0.5857993960380554,0.0,True,0.0,True,random_neurons_sparsity30
all_paths,7000,-0.9715736508369446,0.9775199294090271,-0.9935231864452362,-0.949524961411953,-1.6335443258285522,1.0239373445510864,-1.6575291097164153,-1.6108507335186004,-0.6813386678695679,0.6364464163780212,0.0,True,0.0,True,random_neurons_sparsity30
