name,n,base_mean,base_std,base_ci_lower,base_ci_upper,quantized_mean,quantized_std,quantized_ci_lower,quantized_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model
year_difference_heads,1000,0.23723040521144867,0.7988601326942444,0.18877731263637543,0.28741043359041213,0.23848018050193787,0.7989549040794373,0.18656689077615737,0.2880146950483322,-0.005268191918730736,-0.1820279061794281,1.162721601989157e-08,True,9.69970124889062e-09,True,gpt2_fp16_gpu
comparison_heads,1000,-1.1332186460494995,0.9831615090370178,-1.1924191474914552,-1.0772245824337006,-1.131211519241333,0.984398603439331,-1.1898820132017136,-1.0684506833553313,0.0017711734399199486,-0.29467907547950745,7.6215704254032e-20,True,6.970710268048868e-25,True,gpt2_fp16_gpu
output_computation_heads,2000,-0.9866994619369507,0.9893508553504944,-1.0315595865249634,-0.9450051486492157,-0.9848145246505737,0.9906178116798401,-1.0256182074546814,-0.9409986048936844,0.0019103458616882563,-0.27510520815849304,1.434127755128547e-33,True,1.3140399303090598e-40,True,gpt2_fp16_gpu
all_heads,6000,-0.7825850248336792,1.0690836906433105,-0.8083307236433029,-0.7539299488067627,-0.7807706594467163,1.0699951648712158,-0.807412038743496,-0.7535198867321015,0.002318425802513957,-0.26459452509880066,2.8498827729944713e-90,True,5.46792642316193e-110,True,gpt2_fp16_gpu
all_paths,7000,-0.7851131558418274,0.978829026222229,-0.8075416654348373,-0.7642720803618431,-0.7832960486412048,0.9798675179481506,-0.8048228651285172,-0.7601880967617035,0.0023144525475800037,-0.2651457190513611,2.0512726809458557e-105,True,3.407409308895254e-128,True,gpt2_fp16_gpu
CMP→OUT_paths,2000,-1.0642162561416626,0.9761231541633606,-1.1056154817342758,-1.0193596661090851,-1.0622836351394653,0.9774388074874878,-1.1005099952220916,-1.019562265276909,0.0018160040490329266,-0.2819579541683197,4.06504764175174e-35,True,2.6487440694647618e-43,True,gpt2_fp16_gpu
YD→CMP_paths,1000,-0.32076194882392883,0.8319088816642761,-0.37356293573975563,-0.26742506548762324,-0.3191392421722412,0.8328233957290649,-0.36491288915276526,-0.2694548934698105,0.005058912560343742,-0.23801133036613464,1.1928337248248217e-13,True,4.554697951713053e-16,True,gpt2_fp16_gpu
YD→OUT_paths,2000,-0.5662136673927307,0.9155482053756714,-0.6043672919273376,-0.5254788473248482,-0.564454972743988,0.9163687825202942,-0.6056311503052711,-0.5276088163256645,0.0031060618348419666,-0.2565864324569702,1.4999277566283582e-29,True,2.709253790146124e-35,True,gpt2_fp16_gpu
YE→YD_paths,2000,-0.9570849537849426,0.9762634038925171,-0.9990609973669052,-0.9117832347750664,-0.9552277326583862,0.977531909942627,-0.9965979486703872,-0.9104343965649605,0.001940497662872076,-0.27048635482788086,1.5186034040932913e-32,True,2.728971252451981e-39,True,gpt2_fp16_gpu
year_encoding_heads,2000,-0.9130614995956421,1.0037142038345337,-0.9592011660337448,-0.8684385776519775,-0.9130616188049316,1.0037139654159546,-0.9571924418210983,-0.8682067319750786,-1.305599823808734e-07,0.00728754373267293,0.7445890579958045,False,0.9013969307535257,False,gpt2_fp32_baseline
year_difference_heads,1000,0.23723040521144867,0.7988601326942444,0.1854823898524046,0.29050248637795445,0.23722989857196808,0.7988601922988892,0.189366402477026,0.28492711260914805,2.135643171641277e-06,0.028899475932121277,0.36123967467135554,False,0.3768753514338262,False,gpt2_fp32_baseline
comparison_heads,1000,-1.1332186460494995,0.9831615090370178,-1.1917441099882127,-1.0737862557172775,-1.1332191228866577,0.9831612706184387,-1.196705588698387,-1.0667474508285522,-4.207812480672146e-07,0.025316564366221428,0.4237969707044781,False,0.5369632551206129,False,gpt2_fp32_baseline
output_computation_heads,2000,-0.9866994619369507,0.9893508553504944,-1.0282312154769897,-0.9417861714959145,-0.9866998195648193,0.9893508553504944,-1.0333686143159866,-0.9422879189252853,-3.624486168973817e-07,0.022374877706170082,0.3172453829914521,False,0.3996715735294982,False,gpt2_fp32_baseline
all_heads,6000,-0.7825850248336792,1.0690836906433105,-0.8077444463968276,-0.7553778842091561,-0.7825853824615479,1.069083571434021,-0.8106484293937684,-0.7568174093961716,-4.5698277517658425e-07,0.0188403632491827,0.14454961437782604,False,0.24733921664312586,False,gpt2_fp32_baseline
all_paths,7000,-0.7851131558418274,0.978829026222229,-0.806804758310318,-0.7622274935245514,-0.7851131558418274,0.9788292646408081,-0.8068404361605644,-0.7609609976410866,-0.0,-0.0011086222948506474,0.9261069178084207,False,0.8694862604901642,False,gpt2_fp32_baseline
CMP→OUT_paths,2000,-1.0642162561416626,0.9761231541633606,-1.1059634119272232,-1.0207175314426422,-1.0642170906066895,0.9761232733726501,-1.109119313955307,-1.0209524005651474,-7.841122737772821e-07,0.04472627863287926,0.04566561340756561,True,0.06393348996368184,False,gpt2_fp32_baseline
YD→CMP_paths,1000,-0.32076194882392883,0.8319088816642761,-0.3734731338918209,-0.2700009748339653,-0.3207615911960602,0.8319082260131836,-0.3701648972928524,-0.2719107650220394,1.1149323881909368e-06,-0.019880319014191628,0.5299140549173305,False,0.5229864039475955,False,gpt2_fp32_baseline
YD→OUT_paths,2000,-0.5662136673927307,0.9155482053756714,-0.605008938908577,-0.5289403304457665,-0.5662133097648621,0.9155488014221191,-0.6065224289894103,-0.5264362469315529,6.316129201877629e-07,-0.019728634506464005,0.3778446308262028,False,0.42447216486396044,False,gpt2_fp32_baseline
YE→YD_paths,2000,-0.9570849537849426,0.9762634038925171,-1.000022953748703,-0.9127658680081367,-0.9570846557617188,0.9762634038925171,-0.9989872261881828,-0.9115268722176552,3.113863726866839e-07,-0.020382769405841827,0.3622380900818363,False,0.3080047078612653,False,gpt2_fp32_baseline
