name,n,base_mean,base_std,base_ci_lower,base_ci_upper,quantized_mean,quantized_std,quantized_ci_lower,quantized_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
IND→BNM_paths,2000,0.1219673901796341,1.50593101978302,0.04972054949030281,0.1858757633715868,0.13148964941501617,1.516163945198059,0.06700238455086951,0.20198750197887422,-0.07807217538356781,-0.013771157711744308,0.5381554357068676,False,0.3649479738959909,False,gpt2_int8_quantized,1.0,False,0.9991724468808918,False
IND→NM_paths,2000,0.12936164438724518,1.5092763900756836,0.06274711154401304,0.19397978447377678,0.14371317625045776,1.5178579092025757,0.07902548555284739,0.21053636595606803,-0.11094116419553757,-0.020693454891443253,0.3549693860420696,False,0.2308691866577539,False,gpt2_int8_quantized,1.0,False,0.8407169669417438,False
PT→IND_paths,2000,0.12846796214580536,1.4920183420181274,0.06374571099877359,0.1946493737399578,0.13131661713123322,1.5051997900009155,0.06349308136850595,0.20233031436800955,-0.02217404916882515,-0.004142210818827152,0.8530917653667367,False,0.6146043200393676,False,gpt2_int8_quantized,1.0,False,0.9991724468808918,False
S-INH→NM_paths,2000,0.6730186939239502,1.4521286487579346,0.6120940834283829,0.737786777317524,0.6467169523239136,1.4681755304336548,0.5808341264724731,0.7089966475963593,0.03908025473356247,0.036402326077222824,0.10377699254283367,False,0.1386178703390887,False,gpt2_int8_quantized,1.0,False,0.588140476455345,False
S-INH→NNM_paths,2000,0.38082262873649597,1.459879994392395,0.32178825959563256,0.4421669743955135,0.3667820394039154,1.4689210653305054,0.29835173189640046,0.4289802886545658,0.0368691049516201,0.019813045859336853,0.375807701689554,False,0.522737202847691,False,gpt2_int8_quantized,1.0,False,0.8455673288014965,False
previous_token_heads,3000,0.13684028387069702,1.5262991189956665,0.08099711444228888,0.19354793354868888,0.13684087991714478,1.5251027345657349,0.0852072570472956,0.19305927492678163,-4.3557820390560664e-06,-6.278590444708243e-05,0.9972568258445249,False,0.6734592344162329,False,gpt2_fp16_gpu,1.0,False,0.9991724468808918,False
duplicate_token_heads,2000,0.26421985030174255,1.5668398141860962,0.1989594165235758,0.3370370142161846,0.26421964168548584,1.5657355785369873,0.19188393801450732,0.33116634488105773,7.895555995673931e-07,2.3200844225357287e-05,0.9991724468808918,False,0.7221835077011567,False,gpt2_fp16_gpu,1.0,False,0.9991724468808918,False
induction_heads,5000,0.30947232246398926,1.5159215927124023,0.26831394582986834,0.3488245703279972,0.3095153868198395,1.5146222114562988,0.2688560552895069,0.3542214423418045,-0.00013915414456278086,-0.004552983213216066,0.7475325620775933,False,0.7834657598058129,False,gpt2_fp16_gpu,1.0,False,0.9991724468808918,False
s_inhibition_heads,4000,0.8099409341812134,1.5035566091537476,0.7609781697392464,0.8541991949081421,0.8101022243499756,1.502216100692749,0.75991450548172,0.8578809008002282,-0.00019913818687200546,-0.017064740881323814,0.28059304885873376,False,0.6084900855356907,False,gpt2_fp16_gpu,1.0,False,0.7891679499151887,False
name_mover_heads,5000,0.2121022492647171,1.5108412504196167,0.17159976325929166,0.25550177320837975,0.21223567426204681,1.5095964670181274,0.1689928587526083,0.2539325818419456,-0.000629059795755893,-0.01414844486862421,0.31719144388683057,False,0.6609848475684719,False,gpt2_fp16_gpu,1.0,False,0.8396244102886692,False
negative_name_mover_heads,2000,-0.8095555305480957,1.9271100759506226,-0.8897191688418389,-0.7290491104125977,-0.8095582723617554,1.9261456727981567,-0.8982849270105362,-0.7224302724003792,-3.386813659744803e-06,0.0002919800754170865,0.989585630255231,False,0.7060944348177904,False,gpt2_fp16_gpu,1.0,False,0.9991724468808918,False
